"","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","cluster"
"1","15O20RQyWJgKrkHID9ynT9",0.441,0.443,0.558,0,0.163,0.284801173573636,1,0.0624,0.561877831318348,0.248,2
"2","479acVfQ74icOy772hE1ba",0.0756,0.532,0.473,7.83e-06,0.111,0.310892230313826,1,0.0438,0.481711246405248,0.167,2
"3","5tOjRq5shlEdm15nmJBq7Z",0.366,0.599,0.666,0.00158,0.169,0.390894325981034,1,0.0324,0.751199853805388,0.482,2
"4","1LhMopPAallLeaeNutqbgS",0.103,0.707,0.632,1.09e-05,0.0841,0.368365903494525,1,0.0789,0.466668590279982,0.372,2
"5","5esPpmrM2AsyDVgOKzWQwU",0.229,0.58,0.687,0,0.109,0.282915073086394,1,0.106,0.365553856363794,0.187,2
"6","6uaIMhUZXMuT2Zz0vxrFiR",0.722,0.571,0.558,0.000331,0.116,0.448106040760727,1,0.0281,0.504905213953891,0.283,2
"7","2YU9u46O1vUhRvOFoWsThH",0.866,0.89,0.248,0.00149,0.121,0.494891811180385,0,0.0517,0.611324311586885,0.245,1
"8","7t3Ldw0z7zS0WyzlV7aJGV",0.0618,0.618,0.801,0,0.104,0.30177607795882,1,0.212,0.403651018072347,0.706,2
"9","16QN8cBubEq706vNtPpOME",0.0053,0.808,0.581,1.19e-05,0.0828,0.284486823492429,1,0.07,0.625232035856152,0.758,2
"10","5qWfbqQUmQGS0fy15emahR",0.401,0.665,0.713,8.99e-06,0.103,0.382040132027034,1,0.0496,0.503024881938233,0.614,2
"11","7HzCxalzzYQOFb9a7Xs3j6",0.0331,0.678,0.783,1.51e-05,0.134,0.244773929899932,0,0.0828,0.490521395389099,0.679,1
"12","2N2IkAiiJqDXXFm58mix4A",0.00651,0.615,0.719,3.99e-05,0.111,0.268454969350867,0,0.0985,0.8226524704004,0.344,1
"13","2BgEsaKNfHUdlh97KmvFyo",0.0372,0.697,0.683,0,0.137,0.150940430659611,0,0.117,0.462306797087649,0.603,1
"14","3E5XrOtqMAs7p2wKhwgOjf",0.0335,0.818,0.732,4.95e-05,0.19,0.234400377220097,0,0.0334,0.572284579353858,0.679,1
"15","5HIfxhZRZp6BPpsz4wCKq9",0.046,0.395,0.823,9.38e-06,0.234,0.231571226489234,1,0.0404,0.60776562695367,0.632,2
"16","6p3nhn7e7rltnxlSvBEfp3",0.73,0.658,0.348,0,0.155,0.322627966678891,1,0.0451,0.341903030652778,0.299,2
"17","77nXj2IoswHUcgwh0tw83O",0.452,0.603,0.554,0,0.0545,0.229527950961387,1,0.0646,0.538558828904214,0.354,2
"18","3H4SQPQVJ4birjwbMMuYlY",0.0583,0.379,0.732,1.58e-05,0.143,0.361397810027768,0,0.0659,0.576021198218734,0.398,1
"19","5tz69p7tJuGPeMGwNTxYuV",0.57,0.62,0.574,0,0.19,0.408026405406821,0,0.0479,0.481004318511893,0.352,1
"20","6FZeriWMXd5ciTN7GvC0od",0.0114,0.756,0.942,0.000123,0.283,0.159847016293813,0,0.15,0.615998691942946,0.211,1
"21","1zFqYEYQrz5mkTxFM1yxXy",0.129,0.555,0.592,0,0.103,0.357992350814691,1,0.333,0.443373633032288,0.663,2
