,Unnamed: 0,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9,X,Y,name
0,0,15O20RQyWJgKrkHID9ynT9,0.441,0.44299999999999995,0.5579999999999999,0.0,0.163,0.284801174,1,0.0624,0.561877831,0.248,2,0E47pBZ2vm2NkEDKONAIuo,6LizkSIS8bhKLs4Q6Kre5W,3nFpW8MQFp8iLVM2r4qEjA,0fJtP2HkuZtzfh30XIMtPw,09yDZSrQWbpaZvkBlzDbpK,2k8p8JCPBz8xki4SwuWGS1,2NkbRmygVirMQFCjSkyY7Q,6bt1R3HFqITysmy3W88M3c,2x7mjuJxIRphPtfTSWNDgp,1bb9eogTs9f8FrxlQ8Rvr2,-0.405336672,0.14880577,Never Be Like You
1,1,479acVfQ74icOy772hE1ba,0.0756,0.532,0.473,7.83e-06,0.111,0.31089223,1,0.0438,0.48171124600000004,0.16699999999999998,2,6FueN9jVmrkmxApDrdfDFY,31cahXEtbRJM5lzVjvgW21,59krMPfRgjLYmAkVA2gHl4,6YIkU44i9mfapJ4Zfs1ggz,0Qh38w01QRXK6KHIv0e3hb,5weKCP07IGA1565wfI3cZ1,7krbSH3rd8lhIZvuzTV3Bl,4onD2lx2ohTTT48FRDCH7h,4h6WC7k2vRI4lrjqDh5g9D,3cuRIW5XcYEcWyWpBjIXHP,-0.382395548,-0.089367451,Fight for You
2,2,5tOjRq5shlEdm15nmJBq7Z,0.366,0.599,0.6659999999999999,0.00158,0.16899999999999998,0.390894326,1,0.0324,0.7511998540000001,0.48200000000000004,2,0vy1K9FhCK8woHW7MKEcBG,10M2Ex445zw585Ducldzkw,6aLmvz0CPeCNHCXK2H5QIC,2yQZwi1P8AkkxxFhQ8rMEK,1hKFNaxdPqR5moi4qzUK76,5zLs51Fr3XSUhZiWQMlxJu,7dt6x5M1jzdTEt8oCbisTK,2IA8cFA46DkjgbsRG7kKbp,2YyvWje3cEYyqgYhNUIaBJ,6r6n5OmXkdsOxN2iCj5UE0,-0.39203470700000004,0.045276975,Out Of My Head
3,3,1LhMopPAallLeaeNutqbgS,0.10300000000000001,0.7070000000000001,0.632,1.09e-05,0.0841,0.368365903,1,0.0789,0.46666859,0.37200000000000005,2,10GJQkjRJcZhGTLagFOC62,0VWRbuEicramx9Hp2iWCTC,2mfUa8bLs2s5N4VaqJZ4lZ,2JRLoT6z48Pfihyj1s1u77,71HJ6PCDao3hcgOEUX8M22,2B3jnZ6tCsVFD4gNXHBJzP,0fjKE697Z8WQ33XSJKbfQn,5AdnkoZJuRJCYqYBIzSqFb,58Xf9pv08HhsBdLshzIYAQ,3XlE1iWXYyK4e0jtGef286,-0.371457624,-0.13779934,Say Something
4,4,5esPpmrM2AsyDVgOKzWQwU,0.22899999999999998,0.58,0.687,0.0,0.109,0.282915073,1,0.106,0.365553856,0.187,2,5esPpmrM2AsyDVgOKzWQwU,6Hgh47WXVKtXN5zGOu0hjI,33UI8dgfkDOf32DWBH1GL0,08nYf4Aihtg013sLE8sloU,4E5P1XyAFtrjpiIxkydly4,5vuMtXS5kQ7F0o9V9rG1dG,5Z6JNzQNHrBFdi31XAbAR4,4VUwkH455At9kENOfzTqmF,0BNNxZfJOS59Bip2dQGk2f,09yDZSrQWbpaZvkBlzDbpK,-0.380059451,-0.078596214,Beyond
5,5,6uaIMhUZXMuT2Zz0vxrFiR,0.722,0.5710000000000001,0.5579999999999999,0.000331,0.11599999999999999,0.448106041,1,0.0281,0.504905214,0.28300000000000003,2,2Kik93LzYWedRq41pH6eDN,0fvke3Xize2XpVUDoZbtyW,0VBBWt0uJxXNVb624WtOnC,2rxQMGVafnNaRaXlRMWPde,0MsuUFDdKP6d3aq5jBUdTK,42bbDWZ8WmXTH7PkYAlGLu,0CZ8lquoTX2Dkg7Ak2inwA,1It1TxBK3xIQAB4xJkPevn,5dTJMpqiELczVuHJP3OAEu,0pdKRp2sUthTPe7RLWpPqQ,-0.42327421299999995,0.422064568,The Woods - Acoustic
6,6,2YU9u46O1vUhRvOFoWsThH,0.866,0.89,0.248,0.00149,0.121,0.494891811,0,0.0517,0.611324312,0.245,1,28EyY6ygTlCucvF9RoMIQ1,28LrrolOGEPtpPqMRhfaZ0,7dNwJbsT0sg1le5kVugGJb,1BczdgS6s8ofRNMZPtbMF1,4YpVlqsbsnmRFP7bamdWbR,0gakOwhuH8Xf7JuCgsXhDI,7fS708BKUj1zNyejmuZxDb,1GlSowQ33EgXZz1Y22LleO,6jApoxmm4K0yhJlSBONwjz,0orqUsqNaLLGF4aXoU6F3d,0.560829315,0.768843345,Thinking on My Own
7,7,7t3Ldw0z7zS0WyzlV7aJGV,0.0618,0.618,0.8009999999999999,0.0,0.10400000000000001,0.301776078,1,0.212,0.403651018,0.706,2,1SflceB6gEUczFvowdYkaQ,2nHuAhUwIG29RYVD1zcUX2,1F2HXIJrE2Xn81OzT2zZvW,3B54sVLJ402zGa6Xm4YGNe,6jnEusmGUs0D6YvF8MhOXX,6FE2iI43OZnszFLuLtvvmg,5HwnezK198pJCEj1l2Adjy,3CA9pLiwRIGtUBiMjbZmRw,3jDdpx9PMlfMBS5tOBHFm9,6yEi7mIkyoKYlhk7X43wNj,-0.36140607799999996,-0.270281567,Used To You
8,8,16QN8cBubEq706vNtPpOME,0.0053,0.8079999999999999,0.581,1.1900000000000001e-05,0.0828,0.284486823,1,0.07,0.625232036,0.758,2,0PG9fbaaHFHfre2gUVo7AN,4ZKGarvWsSOruOaw40cFNz,6r05pfZigq7Arg25pi2vRm,0KK1FJFCBjdgPE00CJuvEG,7J4WtoGCdREmGQrSzPYuFe,4cxacKRkXUaXwxwhD42Iqg,4wFHz9UQtuXUgbhy7cn8qk,4E0teOQQQwagLVvQ7VfYm1,5Il6Oe7lr5XM7A0cWbVQtr,3O4DdB07AoPwvy1fsIToiT,-0.36195892799999996,-0.229969303,Love So Soft
9,9,5qWfbqQUmQGS0fy15emahR,0.401,0.665,0.713,8.99e-06,0.10300000000000001,0.38204013200000003,1,0.0496,0.5030248820000001,0.614,2,7LROGCpqfOu6oBgXrjGlHO,5kXDF4OmM5COyeo6z97nEk,1W0zPxHrUF4H2xmWkO97Ea,14cikDRwGYOB1UfdA44V4P,5tAa8Uaqr4VvA3693mbIhU,5H4YGepZNnPhnOHA9vZSEP,3AzvNvE3xpgelqmE5MRnbI,4Sbc03ueoX8IHdI1H2iht0,1kgw52pWfmHsXP0eAmduLg,6qX4gWRXTRPIrEfNuNaYye,-0.389972754,0.063059535,Do You Think About Us?
10,10,7HzCxalzzYQOFb9a7Xs3j6,0.0331,0.6779999999999999,0.7829999999999999,1.51e-05,0.134,0.24477393,0,0.0828,0.490521395,0.679,1,5hIuSLPtjhOFW0bzzRPbuY,073wmqmf5KfrQiNukyuqrq,1tn7pFwjU4ue3omJGc6L7J,4ejTiGZJNOkc3RM6RUITJi,3HltnjWv3KRaea6YsVgFgs,7JzWz4mgrthdmX52b0Z7mz,4cKGldbhGJniI8BrB3K6tb,60fFwimwllbxqq5kgME3zy,2ffTu34aAhPSo5IgrFR8oD,0rJzsc89WVFLnFEeksmOZO,0.637343541,-0.22479023899999998,I Took A Pill In Ibiza - Seeb Remix
11,11,2N2IkAiiJqDXXFm58mix4A,0.006509999999999999,0.615,0.7190000000000001,3.9899999999999994e-05,0.111,0.268454969,0,0.0985,0.82265247,0.344,1,7EtzDNjVmifX4q4k9hQKTV,0CALOqrkXAE7WB2nyIATLk,7CotyU8EcChJlqOFnxPPmI,7eBtmw3nmUU1feJ9R4GPej,7B05516SDZK9hsqde0yauO,0AS63m1wHv9n4VVRizK6Hc,4wCD0qOFNRu1Q6O3N6ycm4,23eSs9NM5hSXN2SjN62xT8,6NCkJFHLl3K9epKNenmlSc,4JWQC6gyYoPRnxRxk0ta2M,0.63317989,-0.22419428100000002,Saint
12,12,2BgEsaKNfHUdlh97KmvFyo,0.0372,0.6970000000000001,0.6829999999999999,0.0,0.13699999999999998,0.15094043099999999,0,0.11699999999999999,0.46230679700000005,0.603,1,2BgEsaKNfHUdlh97KmvFyo,1KGi9sZVMeszgZOWivFpxs,073wmqmf5KfrQiNukyuqrq,1BMfojwi8eKlVtGOEfJw17,3o8bovLXjsxsFBTXajm1VA,1UiEaMpzSMICYs0FWQga7S,7HzCxalzzYQOFb9a7Xs3j6,4ejTiGZJNOkc3RM6RUITJi,7uH27oIt4a6cIFCA8ZPcyG,1jY7v9jG7kuUOGT9vVR6vs,0.635669953,-0.198230005,2002
13,13,3E5XrOtqMAs7p2wKhwgOjf,0.0335,0.818,0.732,4.95e-05,0.19,0.234400377,0,0.0334,0.572284579,0.679,1,7CMfLvTBxPE38oGk2FRmsu,2ekn2ttSfGqwhhate0LSR0,7Cw97917dvg5xm6XMAA4Y2,57nU6ivxzZemOQaQK0hqEs,2VWKS0DtLjB6rP4iCue0nS,407bMQYO7pKNipPaB5DanI,4ejTiGZJNOkc3RM6RUITJi,4t14AT1MhpuSOdojL4zZgZ,58F6iKkYdIccktJ8i8BuQQ,5zWWXFYSFMO66hUXHfVITK,0.640545763,-0.216281155,Just Dance
14,14,5HIfxhZRZp6BPpsz4wCKq9,0.046,0.395,0.823,9.38e-06,0.23399999999999999,0.23157122600000002,1,0.0404,0.607765627,0.632,2,72o5GKc9jmiCTex2MPPoAI,1mMLMZYXkMueg65jRRWG1l,7esrnDc7ncqQGHz8q6Wql2,2WuDGjp1Ydst3xHHLKO5NW,4QRZirU4s1f30iDHzuKncj,7cz70nyRXlCJOE85whEkgU,6SewJZC2f9ETwJR2zZWkOP,6CyJlVAEFlNdpggOLanytL,4kbj5MwxO1bq9wjT5g9HaA,3Msno56oT1A7H8DFQGylHK,-0.36759264399999997,-0.32121054,The Sweetest Thing
15,15,6p3nhn7e7rltnxlSvBEfp3,0.73,0.6579999999999999,0.348,0.0,0.155,0.322627967,1,0.0451,0.341903031,0.299,2,2VIPU72L6tIR4w8J8ap6Kp,5mdBAkjyr5AuFFbRXQ1M2X,4W6lFeuSPi2pnFTIOrMUiD,5QRb3yGIL1AY9xoh0FGzGl,4OdxrfcLBUL8AJmWdbN7QO,7rzCPEXWAhEaTcr3ajFNuC,0CZ8lquoTX2Dkg7Ak2inwA,7FC9taEfKHkJs3gQdxDvJ0,3ksmU0DaEUMEVzx5V6cc3z,2rxQMGVafnNaRaXlRMWPde,-0.426565938,0.5017792010000001,NONE of this has been about you
16,16,77nXj2IoswHUcgwh0tw83O,0.452,0.603,0.5539999999999999,0.0,0.0545,0.229527951,1,0.0646,0.538558829,0.354,2,2x7mjuJxIRphPtfTSWNDgp,39LmTF9RgyakzSYX8txrow,42bbDWZ8WmXTH7PkYAlGLu,7tsHqxfepei1AdLjy93XIv,2cJS4uSqiNCeH4CgOt9LNA,60Q0ZSKKBea7otGijFgrQI,0lnfjcwBcripJPtXuSu7d3,1AJBNdi266U3cJkgxpHOlF,0h9bwHojcS1hSBon4YKK81,3ji4bcQugJj5B6NRGYDNwP,-0.400272664,0.142757924,Thursday
17,17,3H4SQPQVJ4birjwbMMuYlY,0.0583,0.379,0.732,1.58e-05,0.14300000000000002,0.36139781,0,0.0659,0.576021198,0.39799999999999996,1,4hCNAbUTmoj9Pzg2vFhoiC,4pCUMrVlDuWIk6X03VDvT2,7kqCbVG93MnBnkRGiKWTPs,2AaF78iCWISMWYog5RnSi5,4R1blcuvrin6EEgyDFljSg,3yelVZf4p9wDpWjPav5mOn,1cEo4OOyM1rOUn6kuTrm5m,2TYlNJNjw45KdmKr5Dh2mh,69HBkY6dhDFSrXAdiyLZZG,5BCnoG4uUCyz58OOy1kFeQ,0.619614414,-0.135507023,Moments Passed
18,18,5tz69p7tJuGPeMGwNTxYuV,0.57,0.62,0.574,0.0,0.19,0.408026405,0,0.0479,0.48100431899999996,0.35200000000000004,1,4Sj8JZ9zZfl8HaOav5yTVq,6p128YQodqDtEPDaMLtP4A,0m0Ew7RcwZaBS8psxgE00P,5CZmC1I3ZbyH2ToPwTciAy,1rytrTNO2Eadka8ucjgneZ,23c9gmiiv7RCu7twft0Mym,0UvBmQOhu4DVXJtdzGc5eV,4CXUq9KMLqxrueLaSNUnDc,7jmFU6rB0UoSl1xsC1xEh3,3jutzXVaFn7VJjPv7hOT2C,0.587070881,0.359757975,1-800-273-8255
19,19,6FZeriWMXd5ciTN7GvC0od,0.0114,0.7559999999999999,0.9420000000000001,0.000123,0.28300000000000003,0.159847016,0,0.15,0.615998692,0.21100000000000002,1,5qRUEyakcE4cKgxAFrokNm,6BJLqaraRUJmHa2I1c81P9,5RugEn59RTnWE4IM4uBaC9,2aI2k39nfa3KFsa4JclQzw,0tBbt8CrmxbjRP0pueQkyU,0A5gdlrpAuQqZ2iFgnqBFW,7EmGUiUaOSGDnUUQUDrOXC,3Iee2uf8UXOrOupQzfs1z5,18vGqlZqxpAwlepFrqIkOG,575NJxNUVDqwJGdzBrlLbv,0.65281994,-0.368484555,KNOCK
20,20,1zFqYEYQrz5mkTxFM1yxXy,0.129,0.555,0.5920000000000001,0.0,0.10300000000000001,0.35799235100000004,1,0.33299999999999996,0.443373633,0.6629999999999999,2,5dhsuaGYQpEhXsOQsbLL7s,1m8WpLYXEiNVZchsWEcCSy,1SflceB6gEUczFvowdYkaQ,7t3Ldw0z7zS0WyzlV7aJGV,2nHuAhUwIG29RYVD1zcUX2,6OIJcRL2yycLyIbzrwOUty,1wJRveJZLSb1rjhnUHQiv6,7COXchtUOMd6uIT6HvmRaI,0SuLAslEMFZAXf0SwY7syi,0GXMlXSYrKXM009r5mdWCA,-0.37695404200000004,-0.095469029,The Other Side (feat. Mozzy & DCMBR)
21,21,789qI3jXwivzud76JHGTzU,0.24600000000000002,0.581,0.48,8.65e-06,0.195,0.356211034,1,0.0286,0.38965192200000004,0.276,2,13TMuxC8tdSfthXpHG9D26,1c1SUqeJEYjA3dZVglThmW,5sIx4BlfYGuZeSLF40N9GH,6FueN9jVmrkmxApDrdfDFY,2VxeLyX666F8uXCJ0dZF8B,5lK18Pt33xNudq4qYDxIm8,4ilNy4QN9MKeNifDxT6za9,1qcouv0uGRX5ZEdXsUIJAY,4GUXTRTjQ4voLzwLw9qbPx,7tsHqxfepei1AdLjy93XIv,-0.39167979299999994,0.056097260999999995,On Fire
22,22,1P17dC1amhFzptugyAO7Il,0.204,0.7659999999999999,0.7090000000000001,1.4099999999999999e-05,0.126,0.33902656299999995,0,0.12300000000000001,0.6158928929999999,0.506,1,2twuWVm42q3E4okRqfv8U1,1Gdq70zftwyR7AicLQ4lBY,2CI2yyRfxB0HhEnXso3yLB,6Dny9hE3SFjPgu97TaFUbA,1fyvQWmRbW81M0xXKI1Rrk,7dhyhMtWWJNYWmE4N5XiEA,2MDLioU5AzJf5uA48lxk2t,4mqvE5F95nKSUrUvUH3YB7,0znetZf9bcVN1xjAhQ00LH,5UEvfBx5yQ14HALjI8jk3t,0.624605217,-0.035560395,Look What You Made Me Do
23,23,4N2utzbudidhsWZLpdHb2U,0.00043099999999999996,0.568,0.94,4.96e-05,0.0779,0.282967465,1,0.0411,0.466937896,0.738,2,3CA9pLiwRIGtUBiMjbZmRw,6YQUuoMnRIMaOmouYoMfQr,1SLikaDhWhhhnLJC58bkFI,330Ei3gBMyxIEUppgp7hUY,0w3Q14i073jLoew1hgJkwD,3cGTJ36recw62AXf34v3kJ,5P5cGNzqh6A353N3ShDK6Y,05eGgfS1empJmZDTDY6U7t,6jnEusmGUs0D6YvF8MhOXX,78YZbWqUd4BtzNaXOsPgSQ,-0.355386417,-0.392923475,Father Of Mine
24,24,4c9PMOg5YtNzU7o8CYTOmb,0.171,0.636,0.9690000000000001,0.0,0.345,0.100225284,0,0.0716,0.489727905,0.9109999999999999,1,2Wu9PNpLUCBl3W1GaPqkhl,3SIPgKiFIuTsMIY5O8Fb6F,00WbIozZcC3dIykrfOTJLP,78Nyf6RlqBANlMhSnKyClT,2v5JTeM6hSmi5wWy7jiwrI,0WV4nwEWOsQy0vkyK9uGxq,13w8jIuWMV2mFuISU6dzB7,3haxUceS8i97BLoB7WH3Mj,4i2EBIWHEhEaaXlEszzU7J,0XPlH1uh1g7Z3oVW7gPrYk,0.639549048,-0.259788363,Alabina - Original 1996
