"","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","cluster"
"1","15O20RQyWJgKrkHID9ynT9",0.441,0.443,0.558,0,0.163,0.284801174,1,0.0624,0.561877831,0.248,1
"2","479acVfQ74icOy772hE1ba",0.0756,0.532,0.473,7.83e-06,0.111,0.31089223,1,0.0438,0.481711246,0.167,2
"3","5tOjRq5shlEdm15nmJBq7Z",0.366,0.599,0.666,0.00158,0.169,0.390894326,1,0.0324,0.751199854,0.482,2
"4","1LhMopPAallLeaeNutqbgS",0.103,0.707,0.632,1.09e-05,0.0841,0.368365903,1,0.0789,0.46666859,0.372,2
"5","5esPpmrM2AsyDVgOKzWQwU",0.229,0.58,0.687,0,0.109,0.282915073,1,0.106,0.365553856,0.187,2
"6","6uaIMhUZXMuT2Zz0vxrFiR",0.722,0.571,0.558,0.000331,0.116,0.448106041,1,0.0281,0.504905214,0.283,1
"7","2YU9u46O1vUhRvOFoWsThH",0.866,0.89,0.248,0.00149,0.121,0.494891811,0,0.0517,0.611324312,0.245,1
"8","7t3Ldw0z7zS0WyzlV7aJGV",0.0618,0.618,0.801,0,0.104,0.301776078,1,0.212,0.403651018,0.706,2
"9","16QN8cBubEq706vNtPpOME",0.0053,0.808,0.581,1.19e-05,0.0828,0.284486823,1,0.07,0.625232036,0.758,2
"10","5qWfbqQUmQGS0fy15emahR",0.401,0.665,0.713,8.99e-06,0.103,0.382040132,1,0.0496,0.503024882,0.614,2
"11","7HzCxalzzYQOFb9a7Xs3j6",0.0331,0.678,0.783,1.51e-05,0.134,0.24477393,0,0.0828,0.490521395,0.679,2
"12","2N2IkAiiJqDXXFm58mix4A",0.00651,0.615,0.719,3.99e-05,0.111,0.268454969,0,0.0985,0.82265247,0.344,2
"13","2BgEsaKNfHUdlh97KmvFyo",0.0372,0.697,0.683,0,0.137,0.150940431,0,0.117,0.462306797,0.603,2
"14","3E5XrOtqMAs7p2wKhwgOjf",0.0335,0.818,0.732,4.95e-05,0.19,0.234400377,0,0.0334,0.572284579,0.679,2
"15","5HIfxhZRZp6BPpsz4wCKq9",0.046,0.395,0.823,9.38e-06,0.234,0.231571226,1,0.0404,0.607765627,0.632,2
"16","6p3nhn7e7rltnxlSvBEfp3",0.73,0.658,0.348,0,0.155,0.322627967,1,0.0451,0.341903031,0.299,1
"17","77nXj2IoswHUcgwh0tw83O",0.452,0.603,0.554,0,0.0545,0.229527951,1,0.0646,0.538558829,0.354,1
"18","3H4SQPQVJ4birjwbMMuYlY",0.0583,0.379,0.732,1.58e-05,0.143,0.36139781,0,0.0659,0.576021198,0.398,2
"19","5tz69p7tJuGPeMGwNTxYuV",0.57,0.62,0.574,0,0.19,0.408026405,0,0.0479,0.481004319,0.352,1
"20","6FZeriWMXd5ciTN7GvC0od",0.0114,0.756,0.942,0.000123,0.283,0.159847016,0,0.15,0.615998692,0.211,2
"21","1zFqYEYQrz5mkTxFM1yxXy",0.129,0.555,0.592,0,0.103,0.357992351,1,0.333,0.443373633,0.663,2
"22","789qI3jXwivzud76JHGTzU",0.246,0.581,0.48,8.65e-06,0.195,0.356211034,1,0.0286,0.389651922,0.276,2
"23","1P17dC1amhFzptugyAO7Il",0.204,0.766,0.709,1.41e-05,0.126,0.339026563,0,0.123,0.615892893,0.506,2
"24","4N2utzbudidhsWZLpdHb2U",0.000431,0.568,0.94,4.96e-05,0.0779,0.282967465,1,0.0411,0.466937896,0.738,2
"25","4c9PMOg5YtNzU7o8CYTOmb",0.171,0.636,0.969,0,0.345,0.100225284,0,0.0716,0.489727905,0.911,2
"26","18LhA0zBzAa2YnhcN3hWGa",0.0116,0.703,0.557,9.85e-05,0.12,0.356158642,0,0.0438,0.769373191,0.127,2
"27","4WfB7FHwoluRjGu4IrJWXI",0.315,0.827,0.599,0,0.0823,0.302247603,0,0.179,0.504895596,0.588,2
"28","4jwP0pxx7su04FYc6J12EQ",0.319,0.68,0.62,1.14e-06,0.158,0.268088228,1,0.0607,0.457233267,0.537,2
"29","2Uu1hqObahlzFDbZqjC6CR",0.0211,0.524,0.627,9.84e-06,0.19,0.379630115,0,0.0885,0.941267276,0.53,2
"30","1K3LRUEcUz5FMtPYyg0F45",0.765,0.682,0.471,0,0.0908,0.481060408,1,0.0301,0.384275423,0.421,1
"31","72Q0FQQo32KJloivv5xge2",0.0533,0.599,0.667,0,0.134,0.223555299,1,0.0367,0.389454752,0.817,2
"32","21mP0OZ7jq4PTmlLEb2Rac",0.697,0.456,0.356,0,0.102,0.317598365,1,0.0353,0.412485212,0.154,1
"33","5NeHvs8ClxMHtqv8DHEK1X",0.13,0.448,0.761,0,0.0823,0.248388956,1,0.221,0.719849766,0.333,2
"34","6gxZLe2tUdy1U51aql0mfR",0.0642,0.31,0.794,2.35e-05,0.178,0.255147483,1,0.0831,0.909792154,0.284,2
"35","7tFiyTwD0nx5a1eklYtX2J",0.254,0.397,0.396,0,0.268,0.519201551,1,0.05,0.687273374,0.227,1
"36","6OHWgUuDDedHRVhcg8vlaf",0.0108,0.603,0.606,0.00157,0.108,0.265101902,0,0.0688,0.447528638,0.403,2
"37","2nGlRyaeE9JF4L4TyAf3uJ",0.0612,0.576,0.795,0,0.14,0.255147483,1,0.0346,0.591852536,0.427,2
"38","1zOHJT86hUWSoGWygL7qi9",0.0608,0.686,0.801,0,0.0834,0.226541625,0,0.189,0.692265151,0.757,2
"39","7fa9MBXhVfQ8P8Df9OEbD8",0.568,0.851,0.541,0,0.13,0.357573217,1,0.0505,0.600931991,0.448,1
"40","2QOSMLaEJkkeezSMZ75yB8",0.0476,0.752,0.764,9.44e-05,0.0543,0.230471001,1,0.038,0.586500082,0.582,2
"41","0V3tUFtSMNfS4iL6HnZsas",0.00961,0.789,0.867,5.15e-05,0.474,0.319798816,1,0.0551,0.605303402,0.864,2
"42","1mcb6XOtbQLn3CpwEUcMPk",0.148,0.549,0.407,0,0.101,0.44433384,1,0.0269,0.720167162,0.383,2
"43","4pgOyxhTFOuNZJndYQJkKk",0.108,0.685,0.646,0.236,0.17,0.351914916,1,0.0711,0.538448221,0.539,2
"44","297rZsBEjFw9d0Gl3iBLnd",0.82,0.701,0.529,0.00113,0.249,0.641378949,0,0.147,0.664685345,0.577,1
"45","2LKJ7awyUwueCpLQl6Khsc",0.0101,0.96,0.563,0.000689,0.392,0.366270236,0,0.255,0.5531302,0.626,2
"46","5iXx0Mq1OrQM2iGuxDxQ0i",0.213,0.704,0.629,1.97e-05,0.0869,0.233509719,1,0.0427,0.562810784,0.692,2
"47","31AyUvMRDvZjyQI1N05lsT",0.0359,0.465,0.711,1.26e-05,0.117,0.269240845,1,0.0307,0.836728511,0.31,2
"48","2fZQIJew3nkNe99s2PKzul",0.189,0.965,0.414,0,0.0767,0.335725887,1,0.0713,0.582046917,0.728,2
"49","2cytBOLpwFRX7J9URCrFIe",0.387,0.836,0.621,9.16e-05,0.104,0.245455022,0,0.0892,0.49049735,0.762,2
"50","7tDqtZnEQcgAE92mEMtgnF",0.443,0.774,0.45,3.28e-05,0.127,0.359406926,1,0.0896,0.433077493,0.648,1
"51","3dskm5fAe8OkBtM9E0VVWx",0.0198,0.471,0.791,0,0.232,0.176717137,0,0.238,0.90582951,0.507,2
"52","3UlvUnyiwwQFXTOpt0DlIU",0.0123,0.374,0.976,0.00603,0.0512,0.280138314,1,0.206,0.480585933,0.144,2
